2D cartesian 1.0 1.0 50 50
331 31 6
1140 40 22
1421 21 28
1804 4 36
193 43 3
1257 7 25
646 46 12
2229 29 44
2083 33 41
2366 16 47
1736 36 34
1744 44 34
9 9 0
1898 48 37
434 34 8
1515 15 30
687 37 13
724 24 14
1013 13 20
103 3 2
2475 25 49
528 28 10
781 31 15
2001 1 40
1490 40 29
1871 21 37
1754 4 35
1908 8 38
1107 7 22
1196 46 23
1879 29 37
1733 33 34
1916 16 38
2086 36 41
1741 41 34
622 22 12
1294 44 25
459 9 9
184 34 3
1074 24 21
663 13 13
700 0 14
1588 38 31
553 3 11
78 28 1
1651 1 33
240 40 4
2321 21 46
2104 4 42
2258 8 45
757 7 15
1546 46 30
1466 16 29
2191 41 43
372 22 7
844 44 16
297 47 5
2062 12 41
1334 34 26
1424 24 28
2395 45 47
960 10 19
313 13 6
250 0 5
1138 38 22
175 25 3
1228 28 24
590 40 11
854 4 17
1726 26 34
207 7 4
1696 46 33
1016 16 20
69 19 1
2241 41 44
1522 22 30
794 44 15
147 47 2
1612 12 32
1084 34 21
2167 17 43
2045 45 40
1310 10 26
2299 49 45
1400 0 28
488 38 9
225 25 4
1178 28 23
1914 14 38
2421 21 48
1204 4 24
2276 26 45
2046 46 40
2429 29 48
566 16 11
319 19 6
1091 41 21
872 22 17
1955 5 39
344 44 6
597 47 11
2480 30 49
2234 34 44
2217 17 44
1687 37 33
1695 45 33
260 10 5
1949 49 38
1185 35 23
950 0 19
38 38 0
675 25 13
2064 14 41
354 4 7
479 29 9
116 16 2
769 19 15
2252 2 45
1541 41 30
2022 22 40
1605 5 32
1859 9 37
847 47 16
1984 34 39
1867 17 37
2137 37 42
1992 42 39
573 23 11
1345 45 26
610 10 12
2463 13 49
1435 35 28
1125 25 22
2414 14 48
651 1 13
1239 39 24
704 4 14
129 29 2
1019 19 20
1802 2 36
391 41 7
1772 22 35
2055 5 41
2309 9 46
1297 47 25
1780 30 35
1517 17 30
2342 42 46
23 23 0
995 45 19
432 32 8
2113 13 42
285 35 5
1575 25 31
1411 11 28
301 1 6
889 39 17
326 26 6
