2D cartesian 1.0 1.0 100 100
5353 53 53
5057 57 50
7039 39 70
343 43 3
7663 63 76
4429 29 44
4133 33 41
4290 90 42
1280 80 12
9 9 0
2286 86 22
9852 52 98
3015 15 30
9119 19 91
8876 76 88
8842 42 88
8405 5 84
3162 62 31
6666 66 66
1752 52 17
8708 8 87
1028 28 10
8785 85 87
7732 32 77
7714 14 77
9775 75 97
3504 4 35
3808 8 38
1165 65 11
5685 85 56
3441 41 34
6361 61 63
6788 88 67
5717 17 57
5437 37 54
5794 94 57
3698 98 36
1313 13 13
1374 74 13
1103 3 11
1797 97 17
8423 23 84
1850 50 18
8170 70 81
440 40 4
1593 93 15
3046 46 30
9012 12 90
2916 16 29
9273 73 92
8036 36 80
6402 2 64
722 22 7
8279 79 82
7426 26 74
2383 83 23
4112 12 41
4069 69 40
4573 73 45
1459 59 14
4745 45 47
5249 49 52
7892 92 78
996 96 9
325 25 3
5282 82 52
6445 45 64
5801 1 58
5521 21 55
1897 97 18
5678 78 56
6993 93 69
407 7 4
6511 11 65
3354 54 33
4458 58 44
1544 44 15
2134 34 21
4491 91 44
9620 20 96
8177 77 81
9924 24 99
8706 6 87
2610 10 26
7167 67 71
8930 30 89
2487 87 24
2800 0 28
3477 77 34
1963 63 19
6833 33 68
953 53 9
7857 57 78
8980 80 89
9663 63 96
4829 29 48
5333 33 53
1490 90 14
619 19 6
3905 5 39
6009 9 60
5566 66 55
5086 86 50
7052 52 70
156 56 1
6042 42 60
7205 5 72
5962 62 59
38 38 0
4995 95 49
5099 99 50
4114 14 41
7271 71 72
8418 18 84
1375 75 13
2891 91 28
704 4 7
2365 65 23
3651 51 36
8937 37 89
3041 41 30
8998 98 89
6761 61 67
9527 27 95
1647 47 16
9588 88 95
8551 51 85
3717 17 37
4237 37 42
2299 99 22
2194 94 21
1123 23 11
1184 84 11
4913 13 49
3470 70 34
3374 74 33
8140 40 81
1260 60 12
5450 50 54
6326 26 63
6683 83 66
5846 46 58
1289 89 12
3602 2 36
795 95 7
3522 22 35
5479 79 54
5183 83 51
1269 69 12
4155 55 41
6499 99 64
4259 59 42
1945 45 19
8049 49 80
6431 31 64
535 35 5
8292 92 82
9455 55 94
2196 96 21
9895 95 98
8593 93 85
3125 25 31
2482 82 24
2811 11 28
3072 72 30
601 1 6
8158 58 81
7521 21 75
2078 78 20
9244 44 92
9089 89 90
1354 54 13
7395 95 73
4230 30 42
7987 87 79
5734 34 57
7300 0 73
420 20 4
5106 6 51
6210 10 62
3567 67 35
6087 87 60
5843 43 58
5563 63 55
9929 29 99
9633 33 96
1439 39 14
6980 80 69
7543 43 75
2029 29 20
3315 15 33
3419 19 34
1776 76 17
2705 5 27
6862 62 68
8809 9 88
2766 66 27
9486 86 94
9052 52 90
8615 15 86
2956 56 29
9676 76 96
1642 42 16
632 32 6
4118 18 41
8875 75 88
4438 38 44
8404 4 84
4699 99 46
6665 65 66
1585 85 15
514 14 5
4471 71 44
4175 75 41
7147 47 71
51 51 0
5927 27 59
5247 47 52
5988 88 59
117 17 1
5003 3 50
4723 23 47
3664 64 36
4784 84 47
7550 50 75
8513 13 85
1470 70 14
6974 74 69
7740 40 77
6703 3 67
1660 60 16
8364 64 83
