2D cartesian 1.0 1.0 64 64
3488 32 54
415 31 6
3445 53 53
3257 57 50
1448 40 22
1813 21 28
2308 4 36
235 43 3
4040 8 63
1607 7 25
814 46 12
2845 29 44
2657 33 41
3024 16 47
2212 36 34
1274 58 19
3689 41 57
2493 61 38
2220 44 34
9 9 0
2416 48 37
3788 12 59
546 34 8
1935 15 30
869 37 13
920 24 14
2046 62 31
3949 45 61
3761 49 58
1293 13 20
1140 52 17
3520 0 55
3732 20 58
131 3 2
3161 25 49
668 28 10
1778 50 27
991 31 15
4021 53 62
2561 1 40
3833 57 59
1896 40 29
2389 21 37
2244 4 35
2440 8 38
1415 7 22
1518 46 23
2397 29 37
2209 33 34
2448 16 38
2660 36 41
1722 58 26
2217 41 34
790 22 12
4093 61 63
1644 44 25
585 9 9
3212 12 50
226 34 3
3665 17 57
3493 37 54
635 59 9
1368 24 21
446 62 6
3501 45 54
3313 49 51
845 13 13
1588 52 24
896 0 14
2022 38 31
707 3 11
3737 25 58
92 28 1
1202 50 18
501 53 7
2113 1 33
3897 57 60
296 40 4
2965 21 46
2692 4 42
2888 8 45
967 7 15
1966 46 30
3997 29 62
3809 33 59
1872 16 29
2998 54 46
2426 58 37
2793 41 43
470 22 7
3397 5 53
3645 61 56
1068 44 16
3209 9 50
367 47 5
2636 12 41
1698 34 26
3217 17 50
4069 37 63
955 59 14
1816 24 28
638 62 9
3053 45 47
1226 10 19
3377 49 52
397 13 6
320 0 5
1446 38 22
217 25 3
1564 28 24
882 50 13
53 53 0
3713 1 58
744 40 11
3541 21 55
1092 4 17
2202 26 34
263 7 4
2158 46 33
3549 29 55
3873 33 60
1296 16 20
2166 54 33
83 19 1
2874 58 44
2857 41 44
1942 22 30
3973 5 62
3197 61 49
1004 44 15
3785 9 59
175 47 2
2060 12 32
1378 34 21
2769 17 43
3621 37 56
507 59 7
3434 42 53
3134 62 48
2605 45 40
1674 10 26
2929 49 45
4045 13 63
1792 0 28
614 38 9
281 25 4
1279 63 19
1500 28 23
306 50 4
2446 14 38
629 53 9
3265 1 51
3093 21 48
1540 4 24
2906 26 45
2606 46 40
3101 29 48
3425 33 53
720 16 11
3638 54 56
403 19 6
3578 58 55
1385 41 21
1110 22 17
2501 5 39
428 44 6
3849 9 60
751 47 11
3166 30 49
2850 34 44
2833 17 44
120 56 1
2149 37 33
1851 59 28
3882 42 60
3838 62 59
2157 45 33
330 10 5
2481 49 38
3597 13 56
1507 35 23
1216 0 19
38 38 0
857 25 13
1599 63 24
4082 50 63
2638 14 41
1205 53 18
3329 1 52
3669 21 57
452 4 7
3354 26 52
3310 46 51
605 29 9
2355 51 36
144 16 2
3318 54 51
979 19 15
2882 2 45
4026 58 62
1961 41 30
2582 22 40
2053 5 32
2377 9 37
1071 47 16
3614 30 56
2530 34 39
2385 17 37
568 56 8
2725 37 42
